fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,ln_fixed acidity,ln_volatile acidity,ln_citric acid,ln_residual sugar,ln_chlorides,ln_free sulfur dioxide,ln_total sulfur dioxide,ln_density,ln_pH,ln_sulphates,ln_alcohol,quality
10.6,0.48,0.64,2.2,0.111,6,20,0.997,3.26,0.66,11.7,2.360854001,-0.733969175,-0.446287103,0.78845736,-2.198225078,1.791759469,2.995732274,-0.003004509,1.181727195,-0.415515444,2.459588842,6
7,0.58,0.12,1.9,0.091,34,124,0.9956,3.44,0.48,10.5,1.945910149,-0.544727175,-2.120263536,0.641853886,-2.396895772,3.526360525,4.820281566,-0.004409708,1.235471471,-0.733969175,2.351375257,5
11.9,0.38,0.51,2,0.121,7,20,0.9996,3.24,0.76,10.4,2.4765384,-0.967584026,-0.673344553,0.693147181,-2.111964733,1.945910149,2.995732274,-0.00040008,1.17557333,-0.274436846,2.341805806,6
6.8,0.77,0,1.8,0.066,34,52,0.9976,3.62,0.68,9.9,1.916922612,-0.261364764,-6.907755279,0.587786665,-2.718100537,3.526360525,3.951243719,-0.002402885,1.286474026,-0.385662481,2.292534757,5
9.5,0.56,0.33,2.4,0.089,35,67,0.9972,3.28,0.73,11.8,2.251291799,-0.579818495,-1.108662625,0.875468737,-2.419118909,3.555348061,4.204692619,-0.002803927,1.187843422,-0.314710745,2.468099531,7
6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,1.887069649,-0.174353387,-3.506557897,0.832909123,-2.830217835,3.465735903,3.871201011,-0.004811557,1.25846099,-0.579818495,2.509599262,7
7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,2.041220329,-0.040821995,-1.609437912,0.693147181,-3.057607677,2.708050201,4.094344562,-0.004510155,1.211940974,-0.820980552,2.388762789,5
10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,2.351375257,-1.427116356,-0.755022584,0.741937345,-2.718100537,1.791759469,3.17805383,-0.002202424,1.147402453,-0.105360516,2.397895273,7
7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,2.041220329,-0.040821995,-1.609437912,0.693147181,-3.057607677,2.708050201,4.094344562,-0.004510155,1.211940974,-0.820980552,2.388762789,5
6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,1.887069649,-0.174353387,-3.506557897,0.832909123,-2.830217835,3.465735903,3.871201011,-0.004811557,1.25846099,-0.579818495,2.509599262,7
6.4,0.67,0.08,2.1,0.045,19,48,0.9949,3.49,0.49,11.4,1.85629799,-0.400477567,-2.525728644,0.741937345,-3.101092789,2.944438979,3.871201011,-0.005113049,1.249901736,-0.713349888,2.433613355,6
9.5,0.78,0.22,1.9,0.077,6,32,0.9988,3.26,0.56,10.6,2.251291799,-0.248461359,-1.514127733,0.641853886,-2.563949857,1.791759469,3.465735903,-0.001200721,1.181727195,-0.579818495,2.360854001,6
9.1,0.52,0.33,1.3,0.07,9,30,0.9978,3.24,0.6,9.3,2.208274414,-0.653926467,-1.108662625,0.262364264,-2.659260037,2.197224577,3.401197382,-0.002202424,1.17557333,-0.510825624,2.2300144,5
12.8,0.84,0.63,2.4,0.088,13,35,0.9997,3.1,0.6,10.4,2.549445171,-0.174353387,-0.46203546,0.875468737,-2.430418465,2.564949357,3.555348061,-0.000300045,1.131402111,-0.510825624,2.341805806,6
10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,2.351375257,-1.427116356,-0.755022584,0.741937345,-2.718100537,1.791759469,3.17805383,-0.002202424,1.147402453,-0.105360516,2.397895273,7
7.8,0.55,0.35,2.2,0.074,21,66,0.9974,3.25,0.56,9.2,2.054123734,-0.597837001,-1.049822124,0.78845736,-2.603690186,3.044522438,4.189654742,-0.002603386,1.178654996,-0.579818495,2.219203484,5
11.9,0.37,0.69,2.3,0.078,12,24,0.9958,3,0.65,12.8,2.4765384,-0.994252273,-0.371063681,0.832909123,-2.551046452,2.48490665,3.17805383,-0.004208845,1.098612289,-0.430782916,2.549445171,6
12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,2.509599262,-0.94160854,-0.46203546,0.832909123,-2.396895772,1.791759469,2.890371758,0.00039992,1.150572028,-0.713349888,2.251291799,5
10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,2.341805806,-0.891598119,-0.597837001,1.16315081,-2.577021939,3.091042453,3.988984047,-0.00040008,1.147402453,-0.116533816,2.292534757,6
12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,2.509599262,-0.94160854,-0.46203546,0.832909123,-2.396895772,1.791759469,2.890371758,0.00039992,1.150572028,-0.713349888,2.251291799,5
8,0.67,0.3,2,0.06,38,62,0.9958,3.26,0.56,10.2,2.079441542,-0.400477567,-1.203972804,0.693147181,-2.813410717,3.63758616,4.127134385,-0.004208845,1.181727195,-0.579818495,2.32238772,6
11.1,0.45,0.73,3.2,0.066,6,22,0.9986,3.17,0.66,11.2,2.406945108,-0.798507696,-0.314710745,1.16315081,-2.718100537,1.791759469,3.091042453,-0.001400981,1.153731588,-0.415515444,2.415913778,6
10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,2.341805806,-0.891598119,-0.597837001,1.16315081,-2.577021939,3.091042453,3.988984047,-0.00040008,1.147402453,-0.116533816,2.292534757,6
7,0.62,0.18,1.5,0.062,7,50,0.9951,3.08,0.6,9.3,1.945910149,-0.478035801,-1.714798428,0.405465108,-2.780620894,1.945910149,3.912023005,-0.004912044,1.124929597,-0.510825624,2.2300144,5
12.6,0.31,0.72,2.2,0.072,6,29,0.9987,2.88,0.82,9.8,2.533696814,-1.171182982,-0.328504067,0.78845736,-2.63108916,1.791759469,3.36729583,-0.001300846,1.057790294,-0.198450939,2.282382386,8
11.9,0.4,0.65,2.15,0.068,7,27,0.9988,3.06,0.68,11.3,2.4765384,-0.916290732,-0.430782916,0.765467842,-2.688247574,1.945910149,3.295836866,-0.001200721,1.118414916,-0.385662481,2.424802726,6
15.6,0.685,0.76,3.7,0.1,6,43,1.0032,2.95,0.68,11.2,2.747270914,-0.378336441,-0.274436846,1.30833282,-2.302585093,1.791759469,3.761200116,0.003194891,1.08180517,-0.385662481,2.415913778,7
10,0.44,0.49,2.7,0.077,11,19,0.9963,3.23,0.63,11.6,2.302585093,-0.820980552,-0.713349888,0.993251773,-2.563949857,2.397895273,2.944438979,-0.003706862,1.172482137,-0.46203546,2.451005098,7
5.3,0.57,0.01,1.7,0.054,5,27,0.9934,3.57,0.84,12.5,1.667706821,-0.562118918,-4.605170186,0.530628251,-2.918771232,1.609437912,3.295836866,-0.006621876,1.272565596,-0.174353387,2.525728644,7
9.5,0.735,0.1,2.1,0.079,6,31,0.9986,3.23,0.56,10.1,2.251291799,-0.30788478,-2.302585093,0.741937345,-2.538307427,1.791759469,3.433987204,-0.001400981,1.172482137,-0.579818495,2.312535424,6
12.5,0.38,0.6,2.6,0.081,31,72,0.9996,3.1,0.73,10.5,2.525728644,-0.967584026,-0.510825624,0.955511445,-2.513306124,3.433987204,4.276666119,-0.00040008,1.131402111,-0.314710745,2.351375257,5
9.3,0.48,0.29,2.1,0.127,6,16,0.9968,3.22,0.72,11.2,2.2300144,-0.733969175,-1.237874356,0.741937345,-2.063568193,1.791759469,2.772588722,-0.003205131,1.16938136,-0.328504067,2.415913778,5
8.6,0.53,0.22,2,0.1,7,27,0.9967,3.2,0.56,10.2,2.151762203,-0.634878272,-1.514127733,0.693147181,-2.302585093,1.945910149,3.295836866,-0.003305457,1.16315081,-0.579818495,2.32238772,6
11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,2.4765384,-0.94160854,-0.371063681,1.029619417,-2.353878387,2.833213344,3.555348061,-0.00060018,1.131402111,-0.494296322,2.379546134,6
11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,2.4765384,-0.94160854,-0.371063681,1.029619417,-2.353878387,2.833213344,3.555348061,-0.00060018,1.131402111,-0.494296322,2.379546134,6
8.4,0.37,0.53,1.8,0.413,9,26,0.9979,3.06,1.06,9.1,2.128231706,-0.994252273,-0.634878272,0.587786665,-0.884307686,2.197224577,3.258096538,-0.002102208,1.118414916,0.058268908,2.208274414,6
6.8,0.56,0.03,1.7,0.084,18,35,0.9968,3.44,0.63,10,1.916922612,-0.579818495,-3.506557897,0.530628251,-2.47693848,2.890371758,3.555348061,-0.003205131,1.235471471,-0.46203546,2.302585093,6
10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,2.341805806,-1.108662625,-0.46203546,1.029619417,-2.47693848,1.609437912,3.091042453,-0.00020002,1.181727195,-0.301105093,2.415913778,7
7,0.23,0.4,1.6,0.063,21,67,0.9952,3.5,0.63,11.1,1.945910149,-1.46967597,-0.916290732,0.470003629,-2.764620553,3.044522438,4.204692619,-0.004811557,1.252762968,-0.46203546,2.406945108,5
11.3,0.62,0.67,5.2,0.086,6,19,0.9988,3.22,0.69,13.4,2.424802726,-0.478035801,-0.400477567,1.648658626,-2.453407983,1.791759469,2.944438979,-0.001200721,1.16938136,-0.371063681,2.595254707,8
8.9,0.59,0.39,2.3,0.095,5,22,0.9986,3.37,0.58,10.3,2.186051277,-0.527632742,-0.94160854,0.832909123,-2.353878387,1.609437912,3.091042453,-0.001400981,1.214912744,-0.544727175,2.332143895,5
9.2,0.63,0.21,2.7,0.097,29,65,0.9988,3.28,0.58,9.6,2.219203484,-0.46203546,-1.560647748,0.993251773,-2.3330443,3.36729583,4.17438727,-0.001200721,1.187843422,-0.544727175,2.261763098,5
10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,2.341805806,-1.108662625,-0.46203546,1.029619417,-2.47693848,1.609437912,3.091042453,-0.00020002,1.181727195,-0.301105093,2.415913778,7
11.6,0.58,0.66,2.2,0.074,10,47,1.0008,3.25,0.57,9,2.451005098,-0.544727175,-0.415515444,0.78845736,-2.603690186,2.302585093,3.850147602,0.00079968,1.178654996,-0.562118918,2.197224577,3
9.2,0.43,0.52,2.3,0.083,14,23,0.9976,3.35,0.61,11.3,2.219203484,-0.84397007,-0.653926467,0.832909123,-2.488914671,2.63905733,3.135494216,-0.002402885,1.208960346,-0.494296322,2.424802726,6
8.3,0.615,0.22,2.6,0.087,6,19,0.9982,3.26,0.61,9.3,2.116255515,-0.486133011,-1.514127733,0.955511445,-2.44184716,1.791759469,2.944438979,-0.001801622,1.181727195,-0.494296322,2.2300144,5
11,0.26,0.68,2.55,0.085,10,25,0.997,3.18,0.61,11.8,2.397895273,-1.347073648,-0.385662481,0.936093359,-2.465104022,2.302585093,3.218875825,-0.003004509,1.156881197,-0.494296322,2.468099531,5
8.1,0.66,0.7,2.2,0.098,25,129,0.9972,3.08,0.53,9,2.091864062,-0.415515444,-0.356674944,0.78845736,-2.3227878,3.218875825,4.859812404,-0.002803927,1.124929597,-0.634878272,2.197224577,5
11.5,0.315,0.54,2.1,0.084,5,15,0.9987,2.98,0.7,9.2,2.442347035,-1.15518264,-0.616186139,0.741937345,-2.47693848,1.609437912,2.708050201,-0.001300846,1.091923301,-0.356674944,2.219203484,6
10,0.29,0.4,2.9,0.098,10,26,1.0006,3.48,0.91,9.7,2.302585093,-1.237874356,-0.916290732,1.064710737,-2.3227878,2.302585093,3.258096538,0.00059982,1.247032294,-0.094310679,2.272125886,5
10.3,0.5,0.42,2,0.069,21,51,0.9982,3.16,0.72,11.5,2.332143895,-0.693147181,-0.867500568,0.693147181,-2.673648774,3.044522438,3.931825633,-0.001801622,1.150572028,-0.328504067,2.442347035,6
8.8,0.46,0.45,2.6,0.065,7,18,0.9947,3.32,0.79,14,2.174751721,-0.776528789,-0.798507696,0.955511445,-2.733368009,1.945910149,2.890371758,-0.005314095,1.199964783,-0.235722334,2.63905733,6
11.4,0.36,0.69,2.1,0.09,6,21,1,3.17,0.62,9.2,2.433613355,-1.021651248,-0.371063681,0.741937345,-2.407945609,1.791759469,3.044522438,0,1.153731588,-0.478035801,2.219203484,6
8.7,0.82,0.02,1.2,0.07,36,48,0.9952,3.2,0.58,9.8,2.163323026,-0.198450939,-3.912023005,0.182321557,-2.659260037,3.583518938,3.871201011,-0.004811557,1.16315081,-0.544727175,2.282382386,5
13,0.32,0.65,2.6,0.093,15,47,0.9996,3.05,0.61,10.6,2.564949357,-1.139434283,-0.430782916,0.955511445,-2.375155786,2.708050201,3.850147602,-0.00040008,1.115141591,-0.494296322,2.360854001,5
9.6,0.54,0.42,2.4,0.081,25,52,0.997,3.2,0.71,11.4,2.261763098,-0.616186139,-0.867500568,0.875468737,-2.513306124,3.218875825,3.951243719,-0.003004509,1.16315081,-0.342490309,2.433613355,6
12.5,0.37,0.55,2.6,0.083,25,68,0.9995,3.15,0.82,10.4,2.525728644,-0.994252273,-0.597837001,0.955511445,-2.488914671,3.218875825,4.219507705,-0.000500125,1.147402453,-0.198450939,2.341805806,6
9.9,0.35,0.55,2.1,0.062,5,14,0.9971,3.26,0.79,10.6,2.292534757,-1.049822124,-0.597837001,0.741937345,-2.780620894,1.609437912,2.63905733,-0.002904213,1.181727195,-0.235722334,2.360854001,5
10.5,0.28,0.51,1.7,0.08,10,24,0.9982,3.2,0.89,9.4,2.351375257,-1.272965676,-0.673344553,0.530628251,-2.525728644,2.302585093,3.17805383,-0.001801622,1.16315081,-0.116533816,2.240709689,6
9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,2.261763098,-0.385662481,-1.427116356,0.78845736,-2.44184716,1.609437912,3.33220451,-0.001200721,1.1442228,-0.510825624,2.32238772,5
9.3,0.27,0.41,2,0.091,6,16,0.998,3.28,0.7,9.7,2.2300144,-1.30933332,-0.891598119,0.693147181,-2.396895772,1.791759469,2.772588722,-0.002002003,1.187843422,-0.356674944,2.272125886,5
10.4,0.24,0.49,1.8,0.075,6,20,0.9977,3.18,1.06,11,2.341805806,-1.427116356,-0.713349888,0.587786665,-2.590267165,1.791759469,2.995732274,-0.002302649,1.156881197,0.058268908,2.397895273,6
9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,2.261763098,-0.385662481,-1.427116356,0.78845736,-2.44184716,1.609437912,3.33220451,-0.001200721,1.1442228,-0.510825624,2.32238772,5
9.4,0.685,0.11,2.7,0.077,6,31,0.9984,3.19,0.7,10.1,2.240709689,-0.378336441,-2.207274913,0.993251773,-2.563949857,1.791759469,3.433987204,-0.001601281,1.160020917,-0.356674944,2.312535424,6
10.6,0.28,0.39,15.5,0.069,6,23,1.0026,3.12,0.66,9.2,2.360854001,-1.272965676,-0.94160854,2.740840024,-2.673648774,1.791759469,3.135494216,0.002596626,1.137833002,-0.415515444,2.219203484,5
9.4,0.3,0.56,2.8,0.08,6,17,0.9964,3.15,0.92,11.7,2.240709689,-1.203972804,-0.579818495,1.029619417,-2.525728644,1.791759469,2.833213344,-0.003606496,1.147402453,-0.083381609,2.459588842,8
10.6,0.36,0.59,2.2,0.152,6,18,0.9986,3.04,1.05,9.4,2.360854001,-1.021651248,-0.527632742,0.78845736,-1.883874758,1.791759469,2.890371758,-0.001400981,1.111857515,0.048790164,2.240709689,5
10.6,0.36,0.6,2.2,0.152,7,18,0.9986,3.04,1.06,9.4,2.360854001,-1.021651248,-0.510825624,0.78845736,-1.883874758,1.945910149,2.890371758,-0.001400981,1.111857515,0.058268908,2.240709689,5
10.6,0.44,0.68,4.1,0.114,6,24,0.997,3.06,0.66,13.4,2.360854001,-0.820980552,-0.385662481,1.410986974,-2.171556831,1.791759469,3.17805383,-0.003004509,1.118414916,-0.415515444,2.595254707,6
10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,2.32238772,-0.400477567,-0.94160854,0.641853886,-2.918771232,1.791759469,2.833213344,-0.002402885,1.153731588,-0.755022584,2.302585093,5
10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,2.32238772,-0.400477567,-0.94160854,0.641853886,-2.918771232,1.791759469,2.833213344,-0.002402885,1.153731588,-0.755022584,2.302585093,5
10.2,0.645,0.36,1.8,0.053,5,14,0.9982,3.17,0.42,10,2.32238772,-0.438504962,-1.021651248,0.587786665,-2.937463365,1.609437912,2.63905733,-0.001801622,1.153731588,-0.867500568,2.302585093,6
11.6,0.32,0.55,2.8,0.081,35,67,1.0002,3.32,0.92,10.8,2.451005098,-1.139434283,-0.597837001,1.029619417,-2.513306124,3.555348061,4.204692619,0.00019998,1.199964783,-0.083381609,2.379546134,7
9.3,0.39,0.4,2.6,0.073,10,26,0.9984,3.34,0.75,10.2,2.2300144,-0.94160854,-0.916290732,0.955511445,-2.617295838,2.302585093,3.258096538,-0.001601281,1.205970807,-0.287682072,2.32238772,6
9.3,0.775,0.27,2.8,0.078,24,56,0.9984,3.31,0.67,10.6,2.2300144,-0.25489225,-1.30933332,1.029619417,-2.551046452,3.17805383,4.025351691,-0.001601281,1.196948189,-0.400477567,2.360854001,6
9.2,0.41,0.5,2.5,0.055,12,25,0.9952,3.34,0.79,13.3,2.219203484,-0.891598119,-0.693147181,0.916290732,-2.900422094,2.48490665,3.218875825,-0.004811557,1.205970807,-0.235722334,2.587764035,7
8.9,0.4,0.51,2.6,0.052,13,27,0.995,3.32,0.9,13.4,2.186051277,-0.916290732,-0.673344553,0.955511445,-2.95651156,2.564949357,3.295836866,-0.005012542,1.199964783,-0.105360516,2.595254707,7
8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,2.163323026,-0.371063681,-1.171182982,1.098612289,-2.453407983,3.135494216,4.394449155,0.00019998,1.247032294,-0.301105093,2.451005098,6
6.5,0.39,0.23,8.3,0.051,28,91,0.9952,3.44,0.55,12.1,1.871802177,-0.94160854,-1.46967597,2.116255515,-2.975929646,3.33220451,4.510859507,-0.004811557,1.235471471,-0.597837001,2.493205453,6
10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,2.370243741,-1.049822124,-0.634878272,0.955511445,-2.659260037,1.609437912,2.772588722,-0.002803927,1.147402453,-0.430782916,2.397895273,8
7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,2.054123734,-0.653926467,-1.386294361,0.641853886,-2.513306124,2.63905733,3.63758616,-0.001601281,1.232560261,-0.430782916,2.197224577,6
7.2,0.34,0.32,2.5,0.09,43,113,0.9966,3.32,0.79,11.1,1.974081026,-1.078809661,-1.139434283,0.916290732,-2.407945609,3.761200116,4.727387819,-0.003405793,1.199964783,-0.235722334,2.406945108,5
10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,2.370243741,-1.049822124,-0.634878272,0.955511445,-2.659260037,1.609437912,2.772588722,-0.002803927,1.147402453,-0.430782916,2.397895273,8
8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,2.163323026,-0.371063681,-1.171182982,1.098612289,-2.453407983,3.135494216,4.394449155,0.00019998,1.247032294,-0.301105093,2.451005098,6
7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,2.054123734,-0.653926467,-1.386294361,0.641853886,-2.513306124,2.63905733,3.63758616,-0.001601281,1.232560261,-0.430782916,2.197224577,6
10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,2.341805806,-0.820980552,-0.314710745,1.87946505,-2.603690186,3.63758616,4.33073334,-0.0010005,1.153731588,-0.162518929,2.48490665,7
10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,2.341805806,-0.820980552,-0.314710745,1.87946505,-2.603690186,3.63758616,4.33073334,-0.0010005,1.153731588,-0.162518929,2.48490665,7
10.5,0.26,0.47,1.9,0.078,6,24,0.9976,3.18,1.04,10.9,2.351375257,-1.347073648,-0.755022584,0.641853886,-2.551046452,1.791759469,3.17805383,-0.002402885,1.156881197,0.039220713,2.388762789,7
10.5,0.24,0.42,1.8,0.077,6,22,0.9976,3.21,1.05,10.8,2.351375257,-1.427116356,-0.867500568,0.587786665,-2.563949857,1.791759469,3.091042453,-0.002402885,1.166270937,0.048790164,2.379546134,7
10.2,0.49,0.63,2.9,0.072,10,26,0.9968,3.16,0.78,12.5,2.32238772,-0.713349888,-0.46203546,1.064710737,-2.63108916,2.302585093,3.258096538,-0.003205131,1.150572028,-0.248461359,2.525728644,7
10.4,0.24,0.46,1.8,0.075,6,21,0.9976,3.25,1.02,10.8,2.341805806,-1.427116356,-0.776528789,0.587786665,-2.590267165,1.791759469,3.044522438,-0.002402885,1.178654996,0.019802627,2.379546134,7
11.2,0.67,0.55,2.3,0.084,6,13,1,3.17,0.71,9.5,2.415913778,-0.400477567,-0.597837001,0.832909123,-2.47693848,1.791759469,2.564949357,0,1.153731588,-0.342490309,2.251291799,6
10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,2.302585093,-0.527632742,-1.171182982,0.78845736,-2.407945609,3.258096538,4.127134385,-0.00060018,1.156881197,-0.46203546,2.32238772,6
13.3,0.29,0.75,2.8,0.084,23,43,0.9986,3.04,0.68,11.4,2.587764035,-1.237874356,-0.287682072,1.029619417,-2.47693848,3.135494216,3.761200116,-0.001400981,1.111857515,-0.385662481,2.433613355,7
12.4,0.42,0.49,4.6,0.073,19,43,0.9978,3.02,0.61,9.5,2.517696473,-0.867500568,-0.713349888,1.526056303,-2.617295838,2.944438979,3.761200116,-0.002202424,1.105256831,-0.494296322,2.251291799,5
10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,2.302585093,-0.527632742,-1.171182982,0.78845736,-2.407945609,3.258096538,4.127134385,-0.00060018,1.156881197,-0.46203546,2.32238772,6
10.7,0.4,0.48,2.1,0.125,15,49,0.998,3.03,0.81,9.7,2.370243741,-0.916290732,-0.733969175,0.741937345,-2.079441542,2.708050201,3.891820298,-0.002002003,1.10856262,-0.210721031,2.272125886,6
10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8,2.351375257,-0.673344553,-0.446287103,0.875468737,-2.234926445,1.791759469,2.708050201,-0.002703652,1.128171091,-0.415515444,2.468099531,7
10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8,2.351375257,-0.673344553,-0.446287103,0.875468737,-2.234926445,1.791759469,2.708050201,-0.002703652,1.128171091,-0.415515444,2.468099531,7
8.5,0.655,0.49,6.1,0.122,34,151,1.001,3.31,1.14,9.3,2.140066163,-0.423120043,-0.713349888,1.808288771,-2.103734234,3.526360525,5.017279837,0.0009995,1.196948189,0.131028262,2.2300144,5
12.5,0.6,0.49,4.3,0.1,5,14,1.001,3.25,0.74,11.9,2.525728644,-0.510825624,-0.713349888,1.458615023,-2.302585093,1.609437912,2.63905733,0.0009995,1.178654996,-0.301105093,2.4765384,6
10.4,0.61,0.49,2.1,0.2,5,16,0.9994,3.16,0.63,8.4,2.341805806,-0.494296322,-0.713349888,0.741937345,-1.609437912,1.609437912,2.772588722,-0.00060018,1.150572028,-0.46203546,2.128231706,3
10.9,0.21,0.49,2.8,0.088,11,32,0.9972,3.22,0.68,11.7,2.388762789,-1.560647748,-0.713349888,1.029619417,-2.430418465,2.397895273,3.465735903,-0.002803927,1.16938136,-0.385662481,2.459588842,6
7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11,1.987874348,-1.007857925,-0.713349888,0.916290732,-2.430418465,3.663561646,4.663439094,-0.003405793,1.211940974,-0.248461359,2.397895273,5
9.8,0.25,0.49,2.7,0.088,15,33,0.9982,3.42,0.9,10,2.282382386,-1.386294361,-0.713349888,0.993251773,-2.430418465,2.708050201,3.496507561,-0.001801622,1.229640551,-0.105360516,2.302585093,6
7.6,0.41,0.49,2,0.088,16,43,0.998,3.48,0.64,9.1,2.028148247,-0.891598119,-0.713349888,0.693147181,-2.430418465,2.772588722,3.761200116,-0.002002003,1.247032294,-0.446287103,2.208274414,5
8.2,0.39,0.49,2.3,0.099,47,133,0.9979,3.38,0.99,9.8,2.104134154,-0.94160854,-0.713349888,0.832909123,-2.312635429,3.850147602,4.890349128,-0.002102208,1.217875709,-0.010050336,2.282382386,5
9.3,0.4,0.49,2.5,0.085,38,142,0.9978,3.22,0.55,9.4,2.2300144,-0.916290732,-0.713349888,0.916290732,-2.465104022,3.63758616,4.955827058,-0.002202424,1.16938136,-0.597837001,2.240709689,5
9.2,0.43,0.49,2.4,0.086,23,116,0.9976,3.23,0.64,9.5,2.219203484,-0.84397007,-0.713349888,0.875468737,-2.453407983,3.135494216,4.753590191,-0.002402885,1.172482137,-0.446287103,2.251291799,5
10.4,0.64,0.24,2.8,0.105,29,53,0.9998,3.24,0.67,9.9,2.341805806,-0.446287103,-1.427116356,1.029619417,-2.253794929,3.36729583,3.970291914,-0.00020002,1.17557333,-0.400477567,2.292534757,5
7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11,1.987874348,-1.007857925,-0.713349888,0.916290732,-2.430418465,3.663561646,4.663439094,-0.003405793,1.211940974,-0.248461359,2.397895273,5
7,0.38,0.49,2.5,0.097,33,85,0.9962,3.39,0.77,11.4,1.945910149,-0.967584026,-0.713349888,0.916290732,-2.3330443,3.496507561,4.442651256,-0.003807238,1.220829921,-0.261364764,2.433613355,6
8.2,0.42,0.49,2.6,0.084,32,55,0.9988,3.34,0.75,8.7,2.104134154,-0.867500568,-0.713349888,0.955511445,-2.47693848,3.465735903,4.007333185,-0.001200721,1.205970807,-0.287682072,2.163323026,6
9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,2.292534757,-0.46203546,-1.427116356,0.875468737,-2.563949857,1.791759469,3.496507561,-0.002603386,1.128171091,-0.562118918,2.240709689,5
9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,2.208274414,-1.514127733,-1.427116356,0.741937345,-2.551046452,0,3.33220451,-0.0010005,1.226712291,-0.139262067,2.332143895,6
11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,2.4765384,-0.967584026,-0.713349888,0.993251773,-2.3227878,2.48490665,3.737669618,0.00039992,1.150572028,-0.494296322,2.332143895,5
11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,2.4765384,-0.967584026,-0.713349888,0.993251773,-2.3227878,2.48490665,3.737669618,0.00039992,1.150572028,-0.494296322,2.332143895,5
10.3,0.27,0.24,2.1,0.072,15,33,0.9956,3.22,0.66,12.8,2.332143895,-1.30933332,-1.427116356,0.741937345,-2.63108916,2.708050201,3.496507561,-0.004409708,1.16938136,-0.415515444,2.549445171,6
10,0.48,0.24,2.7,0.102,13,32,1,3.28,0.56,10,2.302585093,-0.733969175,-1.427116356,0.993251773,-2.282782466,2.564949357,3.465735903,0,1.187843422,-0.579818495,2.302585093,6
9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,2.208274414,-1.514127733,-1.427116356,0.741937345,-2.551046452,0,3.33220451,-0.0010005,1.226712291,-0.139262067,2.332143895,6
9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,2.292534757,-0.46203546,-1.427116356,0.875468737,-2.563949857,1.791759469,3.496507561,-0.002603386,1.128171091,-0.562118918,2.240709689,5
8.1,0.825,0.24,2.1,0.084,5,13,0.9972,3.37,0.77,10.7,2.091864062,-0.192371893,-1.427116356,0.741937345,-2.47693848,1.609437912,2.564949357,-0.002803927,1.214912744,-0.261364764,2.370243741,6
